# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
4.145763684915336533e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.402505818991749077e-03 3.194253181995043156e-01 9.750397222564305411e-01 1.264940617716316495e+00 1.309912602765599399e+00 1.314629123017327705e+00 1.315101685096725648e+00
4.594073560224669173e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.249027229437193630e-03 2.440616121912451697e-01 9.353802817800870306e-01 1.310772499965701332e+00 1.375763673585696401e+00 1.382730640838482739e+00 1.383446019813943328e+00
5.090862258635080906e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.582316674568120040e-04 1.775560607701179572e-01 8.834384510257538015e-01 1.354417227750240205e+00 1.448198716799850461e+00 1.458535452054817938e+00 1.459554615861899718e+00
5.641372127948172555e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.025687931255112332e-04 1.228536709764266460e-01 8.218640757407918995e-01 1.393211087326204467e+00 1.528348807689011046e+00 1.543849499359678301e+00 1.545437638425971372e+00
6.251412407006109895e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.085244268392521608e-05 8.073113928968071729e-02 7.541487522975194313e-01 1.423757205797948178e+00 1.618037069019942376e+00 1.641610202448015032e+00 1.644031545450966858e+00
6.927420527509812409e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.755134407797892486e-06 5.024145005472194919e-02 6.838007261628309408e-01 1.441616615015020919e+00 1.719213581671269919e+00 1.755691121215161132e+00 1.759410122018689959e+00
7.676530044823433485e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.323125224540646618e-09 2.966853793834866443e-02 6.128418920114512281e-01 1.441953783627119234e+00 1.834198584086215167e+00 1.891464384488396044e+00 1.897440456314743562e+00
8.506645914602792402e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.666492564161303064e-02 5.407769052081210504e-01 1.420041981126085373e+00 1.965456007397127447e+00 2.056985911809956047e+00 2.066771838514766202e+00
9.426527909602249622e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.009886506390523200e-03 4.671044267007206097e-01 1.372594856091605031e+00 2.114898276350277051e+00 2.263815987092332893e+00 2.280342583221935726e+00
1.044588305691332231e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.859372523551923860e-03 3.923502597036440664e-01 1.299186228102820140e+00 2.283111712049899822e+00 2.530104361514327493e+00 2.558920598330121532e+00
1.157546807107612530e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.700498883355022337e-03 3.184717058988199012e-01 1.202475749335409017e+00 2.467406877200889692e+00 2.881199518420555439e+00 2.932749821427684811e+00
1.282720286398612508e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.514986853805264187e-03 2.482947471913178605e-01 1.087811836605401261e+00 2.658115774562748168e+00 3.350652820053206415e+00 3.444221531058529795e+00
1.421429632940602517e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.954893543663641873e-04 1.846332373004157812e-01 9.614255559036001264e-01 2.835872154569226478e+00 3.977934855488583388e+00 4.148361514393831939e+00
1.575138572941993864e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.656348500976474300e-04 1.303677500925378152e-01 8.301735151209176378e-01 2.971480443811256311e+00 4.804936353272480254e+00 5.112875993988506451e+00
1.745469115370143243e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.387906593801037586e-04 8.752708680425844157e-02 7.021963040812756462e-01 3.030216731934831653e+00 5.869473916038889350e+00 6.417473715170265436e+00
1.934218668152204401e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.889975434177507421e-05 5.592316659615858415e-02 5.868558970008450615e-01 2.983194462361256516e+00 7.196047175608372370e+00 8.152341230611298784e+00
