# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
8.376358821315099679e-02 1.249093822498841016e+13 5.233485181918928528e+10 2.955459423030950758e-02 8.434895291715821183e-03 8.345937801416349403e-03 8.345039755187995748e-03 8.345030918444807863e-03 8.345030827436601684e-03 8.345030826697035289e-03 8.345030826687669517e-03 8.345030826687669517e-03
9.282151978892702604e-02 1.616252611670362305e+13 7.180814685999760437e+10 9.763817697043779276e-02 1.085602056433715261e-02 1.069107382232958696e-02 1.068942664250900447e-02 1.068941038706277061e-02 1.068941021588763925e-02 1.068941021419127224e-02 1.068941021417400480e-02 1.068941021417400480e-02
1.028589476611446868e-01 2.086073080821638672e+13 9.754563517765954590e+10 1.212699796889003423e+00 1.386136078214608540e-02 1.355188588765895465e-02 1.354884364953479366e-02 1.354881319437913761e-02 1.354881289121021883e-02 1.354881288812145000e-02 1.354881288808927782e-02 1.354881288808927262e-02
1.139817914856013636e-01 2.686267341636607422e+13 1.314345577546801300e+11 2.457700574399745464e+07 1.769042459562172181e-02 1.709971248003372066e-02 1.709395043523297478e-02 1.709389133631587093e-02 1.709389080693554663e-02 1.709389080143913775e-02 1.709389080137798181e-02 1.709389080137799569e-02
1.263074247372921455e-01 3.451847215718325391e+13 1.758869455892006531e+11 1.440212865561816692e+08 2.270829035899376430e-02 2.156724504742954518e-02 2.155598729612845377e-02 2.155587672382051553e-02 2.155587558625334660e-02 2.155587557656708092e-02 2.155587557645060465e-02 2.155587557645058036e-02
1.399659132904753356e-01 4.427012560500942969e+13 2.339811266898236389e+11 3.578810044909918904e+08 2.946859785930192391e-02 2.724004650700792216e-02 2.721937589617737588e-02 2.721916660113914144e-02 2.721916445030578627e-02 2.721916442960393631e-02 2.721916442938367500e-02 2.721916442938366806e-02
1.551013879348994429e-01 5.667520993512597656e+13 3.096411429795454102e+11 6.719797667788690329e+08 3.882317257618402018e-02 3.444763454837980465e-02 3.440701220968534618e-02 3.440655005759665763e-02 3.440654602220681590e-02 3.440654598401488018e-02 3.440654598361910649e-02 3.440654598361907179e-02
1.718735653116279793e-01 7.243660882606367188e+13 4.078636446708060303e+11 1.104382304262480736e+09 5.217495893669512469e-02 4.354863821645695715e-02 4.347221753939561201e-02 4.347145467918949596e-02 4.347144704939569920e-02 4.347144697302000871e-02 4.347144697221624193e-02 4.347144697221616561e-02
1.904594333180916477e-01 9.243978440657787500e+13 5.350043604350478516e+11 1.686701804675397635e+09 7.210913467081103700e-02 5.492092784791891696e-02 5.477516131324521031e-02 5.477372637749378104e-02 5.477371193474790678e-02 5.477371179264491075e-02 5.477371179118602912e-02 5.477371179118585565e-02
2.110551187675540064e-01 1.177994984528789531e+14 6.991393821944211426e+11 2.465431380304930210e+09 1.039021607630154220e-01 6.899368703595000485e-02 6.875284226058464565e-02 6.875031117182239804e-02 6.875028982353648122e-02 6.875029018204643905e-02 6.875029018039592599e-02 6.875029018039577333e-02
2.338779570114110085e-01 1.499183355318748750e+14 9.105204244575219727e+11 3.504050497524326801e+09 1.599018083618108377e-01 8.615301585864790224e-02 8.566528267642502248e-02 8.566043535541605081e-02 8.566038653941855652e-02 8.566038611185533558e-02 8.566038610727766400e-02 8.566038610727702562e-02
2.591687853639511041e-01 1.905600051260939688e+14 1.182148085976912354e+12 4.886283496661151886e+09 2.742652357029815025e-01 1.069118672550415511e-01 1.060253216867523690e-01 1.060165736174578793e-01 1.060164862857864293e-01 1.060164854277450969e-01 1.060164854221588571e-01 1.060164854221568309e-01
2.871944845308725403e-01 2.419410914321690312e+14 1.530493266781729736e+12 6.720740422182170868e+09 5.710999739547807375e-01 1.317258656199730982e-01 1.301359533396269363e-01 1.301205592430743907e-01 1.301203993649315827e-01 1.301203979498836705e-01 1.301203979339786432e-01 1.301203979339772832e-01
3.182507948599050396e-01 3.068458832885826250e+14 1.976404463225099365e+12 9.147178509667562485e+09 1.751626441815796742e+00 1.611019927622556469e-01 1.582880760347513127e-01 1.582601577966082917e-01 1.582598790672169464e-01 1.582598762965377326e-01 1.582598762684341298e-01 1.582598762684312432e-01
3.526654371319368209e-01 3.887700155406305000e+14 2.546248282983188477e+12 1.234469620220241165e+10 1.213137698438071413e+06 1.956157638771502116e-01 1.906822917792075911e-01 1.906322341679223820e-01 1.906317622462919414e-01 1.906317574709111839e-01 1.906317574396449721e-01 1.906317574396406422e-01
3.908015708246992403e-01 4.921000907509178750e+14 3.273342299889666992e+12 1.654227850703447342e+10 1.115814405691040121e+07 2.360395587591027633e-01 2.274753574222192209e-01 2.273918836729338366e-01 2.273910488003140495e-01 2.273910404009987507e-01 2.273910403122149926e-01 2.273910403122062218e-01
4.330616263422369383e-01 6.223382518090347500e+14 4.199754313490745605e+12 2.203224530367919159e+10 3.055497536911379918e+07 2.834307628665440060e-01 2.686792920121626738e-01 2.685338194910947829e-01 2.685315473788902341e-01 2.685329634859514036e-01 2.685329633710775710e-01 2.685329633710625830e-01
4.798915516496440326e-01 7.863827931899041250e+14 5.378560634538899414e+12 2.918731533632249069e+10 5.974268943148915470e+07 3.393949979927212146e-01 3.142665870252189242e-01 3.140235117837778533e-01 3.140211363270764000e-01 3.140211129496278675e-01 3.140211127758140153e-01 3.140211127757886467e-01
5.317855181255572994e-01 9.928788316941221250e+14 6.876679277835555664e+12 3.848219528516835022e+10 1.002609119227363169e+08 4.063708194744324320e-01 3.637492604252991479e-01 3.633494290498528456e-01 3.633454482895916438e-01 3.633454101055125229e-01 3.633454095965353292e-01 3.633454095964930852e-01
5.892911352907692635e-01 1.252656186468646000e+15 8.778422501958918945e+12 5.052084540886928558e+10 1.549765259465330243e+08 4.885796263085626090e-01 4.167605799754091067e-01 4.161033655049187763e-01 4.160968754399103631e-01 4.160968105989376054e-01 4.160968099597952552e-01 4.160968099597275871e-01
6.530152294412288061e-01 1.579276222298483000e+15 1.118995000925231445e+13 6.607087325568709564e+10 2.282099657301757336e+08 5.934595365933532651e-01 4.725073738653814970e-01 4.714484947394124159e-01 4.714380404117273216e-01 4.714379365248498877e-01 4.714379354655847121e-01 4.714379354654761878e-01
7.236302471642841461e-01 1.989714382324976250e+15 1.424484822932518359e+13 8.610688020936534119e+10 3.259260481479885578e+08 7.353582607679349792e-01 5.300750025161503620e-01 5.284396548097370916e-01 5.284230383847581258e-01 5.284233676745635488e-01 5.284233660428977464e-01 5.284233660427259949e-01
8.018813513110725211e-01 2.505212104246239000e+15 1.811111794371178516e+13 1.118650520863399506e+11 4.560336741464194655e+08 9.442133384755939662e-01 5.886916434836789724e-01 5.860823543122057888e-01 5.860561927678480387e-01 5.860559339339174167e-01 5.860559311297622864e-01 5.860559311294943896e-01
