# E_gamma_TeV tau_xi_-1e+06 tau_xi_-1e+05 tau_xi_-1e+04 tau_xi_-1e+03 tau_xi_-1e+02 tau_xi_-1e+01 tau_xi_0e+00 tau_xi_1e+01 tau_xi_1e+02 tau_xi_1e+03 tau_xi_1e+04 tau_xi_1e+05 tau_xi_1e+06
3.199267137797383032e-01 6.029705258796799749e-03 9.706432994557394334e-02 1.483686006218027653e-01 1.551593041110632121e-01 1.558571645912880388e-01 1.559270183354009021e-01 1.559350036339268164e-01 1.559428454431671662e-01 1.560139190577480572e-01 1.567171539721923523e-01 1.639802137584731867e-01 2.644119004688466612e-01 0.000000000000000000e+00
3.494896698159075110e-01 4.135700689248020603e-03 1.028601321114923917e-01 1.728685895438137610e-01 1.827025786818969044e-01 1.837194901068104624e-01 1.838234080122700398e-01 1.838347258964373454e-01 1.838460926301953013e-01 1.839478519888360919e-01 1.849764546766090312e-01 1.956587609751276047e-01 3.549430512570774243e-01 0.000000000000000000e+00
3.817844026370506016e-01 2.553169095804119510e-03 1.058392882496213272e-01 1.991516157561556977e-01 2.132072339460573396e-01 2.146773302108372361e-01 2.148249077005566221e-01 2.148413817457907049e-01 2.148579103739131357e-01 2.150060723098601301e-01 2.164913761388833902e-01 2.320220088751951404e-01 4.869370146788218889e-01 0.000000000000000000e+00
4.170633431703653082e-01 1.333634142841803047e-03 1.053930238351551973e-01 2.267332648966420006e-01 2.465209466159591079e-01 2.486074781817147750e-01 2.488172081224067633e-01 2.488397369403352599e-01 2.488634695254364204e-01 2.490753110269756376e-01 2.511826975271588824e-01 2.734709109825024242e-01 6.875812524034639051e-01 0.000000000000000000e+00
4.556022483239121068e-01 5.014622680593475504e-04 1.012940570370773619e-01 2.548953831152726557e-01 2.822945278247853129e-01 2.852013896608496801e-01 2.854973878144232424e-01 2.855310847089901904e-01 2.855646460506836015e-01 2.858610199968811827e-01 2.888359693768005609e-01 3.206031695782948221e-01 1.041861112286348590e+00 0.000000000000000000e+00
4.977023564332108685e-01 8.389048441418206427e-05 9.360697718250661492e-02 2.827290923488526841e-01 3.201671051873740681e-01 3.242341894405887937e-01 3.246425429593928769e-01 3.246882201079678842e-01 3.247338017223092010e-01 3.251543481423723181e-01 3.292469731809103406e-01 3.739672985663619054e-01 3.191733487733133590e+00 0.000000000000000000e+00
5.436927418827446346e-01 4.060209112154524770e-06 8.293250690448135398e-02 3.092694923354787351e-01 3.597168797292480957e-01 3.652715522554046412e-01 3.658372644441260091e-01 3.658977219887435406e-01 3.659596750290020073e-01 3.665092797919626832e-01 3.721744819579387853e-01 4.348861495953593170e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.939328873072053927e-01 0.000000000000000000e+00 7.027060398727118240e-02 3.333876662423923554e-01 4.004286309839461544e-01 4.079311159507549855e-01 4.086833417776569721e-01 4.087682789411177242e-01 4.088684929366661058e-01 4.096323992290031857e-01 4.173878925240600557e-01 5.049350361757573014e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.488154934780251404e-01 0.000000000000000000e+00 5.685886941677028433e-02 3.538042573801285506e-01 4.417775686615187380e-01 4.519075029514066366e-01 4.529263420680462171e-01 4.530354597432102448e-01 4.531500733662645608e-01 4.541949105948586141e-01 4.646586995576623691e-01 5.861963648095656065e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.087695488385971077e-01 0.000000000000000000e+00 4.388548213440833512e-02 3.693147964265923178e-01 4.831550944366563849e-01 4.966363139542324112e-01 4.979985705754964020e-01 4.981547975606201994e-01 4.983073893000257715e-01 4.996773774829473824e-01 5.137070592893162591e-01 6.814586398704827186e-01 0.000000000000000000e+00 0.000000000000000000e+00
