# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
3.376118947632046119e+00 1.129556740863676758e+12 9.148687403300300598e+10 7.008811507536135674e+09 4.903161079319489598e+08 2.903501641805100441e+07 9.058493588766088942e+05 1.834421760540270174e+00 1.240138809921868646e+00 1.202279213865133478e+00 1.198632848754658031e+00 1.198279716696172059e+00
3.741201856228492773e+00 1.283544706307125488e+12 1.045607206220788574e+11 8.082872746432178497e+09 5.740930511511508226e+08 3.505484020037776232e+07 1.321417883074317593e+06 2.453620945418634403e+00 1.315729786116129452e+00 1.259412710126150747e+00 1.254035579151039359e+00 1.253500805020221209e+00
4.145763684915336533e+00 1.457629197241680176e+12 1.193932493503775787e+11 9.307786749401056290e+09 6.704612883272267580e+08 4.206180914058383554e+07 1.808212240983840777e+06 4.654410200340059589e+00 1.407904461370798055e+00 1.323850369944369332e+00 1.316026573437518499e+00 1.315241065824544586e+00
4.594073560224669173e+00 1.654355670588113525e+12 1.362118144524686584e+11 1.070356531701338196e+10 7.811542949483309984e+08 5.020772516469952464e+07 2.374071082445623819e+06 8.583336828940998942e+01 1.523387548373119182e+00 1.396283767976768564e+00 1.384782767742569032e+00 1.383641529332154230e+00
5.090862258635080906e+00 1.876585129125270996e+12 1.552723897050360718e+11 1.229278797084050369e+10 9.081314254521024227e+08 5.966332263372552395e+07 3.030988342588838656e+06 9.788888218991791291e+03 1.675430261337875093e+00 1.478596305343861772e+00 1.461540802173512343e+00 1.459869081928061529e+00
5.641372127948172555e+00 2.127532622176131592e+12 1.768630986349578552e+11 1.410092356594894981e+10 1.053607210220183849e+09 7.062081640699088573e+07 3.794431949294736143e+06 4.327301268830706249e+04 1.890570283953582953e+00 1.573952172242595759e+00 1.548386916049480089e+00 1.545891099772455757e+00
6.251412407006109895e+00 2.410810303581128418e+12 2.013081717716689453e+11 1.615669104752833557e+10 1.220084197593455315e+09 8.329684923057270050e+07 4.682940417639181949e+06 9.553888671950915887e+04 2.227959772808006278e+00 1.687444701235288003e+00 1.648503362194912780e+00 1.644714206696323844e+00
6.927420527509812409e+00 2.730475707201551270e+12 2.289723854880993958e+11 1.849246458078261185e+10 1.410389787435687542e+09 9.793584479618176818e+07 5.717960276929049753e+06 1.637309450238847930e+05 2.853331175799959318e+00 1.826861457693775170e+00 1.766324777266296664e+00 1.760507288021410099e+00
7.676530044823433485e+00 3.091085974553389648e+12 2.602660417152272034e+11 2.114472807885952759e+10 1.627717558239665031e+09 1.148137896503401399e+08 6.923876067209944129e+06 2.465607696832014190e+05 4.425873755311242164e+00 2.004951849436138023e+00 1.908208853111228676e+00 1.899129856133303873e+00
8.506645914602792402e+00 3.497758233471061523e+12 2.956505396015521851e+11 2.415458523887572861e+10 1.875673630496894121e+09 1.342424811311748028e+08 8.328195760245732963e+06 3.441245855224706465e+05 1.087674960330354601e+01 2.243919166078220950e+00 2.084086523236149180e+00 2.069478937412926989e+00
9.426527909602249622e+00 3.956237603430135254e+12 3.356446422094562378e+11 2.756833180658081436e+10 2.158328717733826637e+09 1.565742892239998281e+08 9.961860452235754579e+06 4.576871761627982487e+05 6.606411834780440984e+01 2.586331840604251031e+00 2.309028984585516309e+00 2.284855590907671541e+00
1.044588305691332231e+01 4.472973077733408203e+12 3.808314649282229004e+11 3.143809774704557419e+10 2.480276538935254574e+09 1.822074923169748783e+08 1.185965979587590694e+07 5.894695810659362469e+05 1.272911477776631273e+03 3.118074088927680343e+00 2.608170718674600153e+00 2.566699508616000713e+00
1.157546807107612530e+01 5.055202592413057617e+12 4.318663494346262817e+11 3.582256711026336670e+10 2.846699390063731194e+09 2.115922561981314123e+08 1.406073894259233214e+07 7.424865279690260068e+05 7.151990512058127024e+03 4.019458027843641368e+00 3.020029554665532689e+00 2.946564509777402030e+00
