# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
1.282720286398612508e+01 5.711048229100486328e+12 4.894856487367276001e+11 4.078778591614143372e+10 3.263441740745982170e+09 2.452373357009740770e+08 1.660919304983963445e+07 9.204388776343880454e+05 1.716163556955063541e+04 5.689188542611172572e+00 3.602808834075390543e+00 3.469307340314495836e+00
1.421429632940602517e+01 6.449622862942498047e+12 5.545165929935515137e+11 4.640806803382243347e+10 3.737092850222692490e+09 2.837175895949609280e+08 1.955474767081921548e+07 1.127658918297798606e+06 3.060731253228769492e+04 9.095137289965384397e+00 4.440515379810245911e+00 4.194113625114246346e+00
1.575138572941993864e+01 7.281149396083547852e+12 6.278883229365113525e+11 5.276701019091874695e+10 4.275079469872763634e+09 3.276824097886489034e+08 2.295352889183235168e+07 1.369102384760590736e+06 4.714378116346952447e+04 1.693823559844524240e+01 5.654033543822921004e+00 5.196452826883211529e+00
1.745469115370143243e+01 8.217094282218588867e+12 7.106442673654659424e+11 5.995863065747202301e+10 4.885769890525698662e+09 3.778651793709018230e+08 2.686892965190122277e+07 1.650373315093292622e+06 6.671420555933054129e+04 3.837868595802774507e+01 7.419387300096484061e+00 6.568946048957008621e+00
1.934218668152204401e+01 9.270316822874712891e+12 8.039559818095020752e+11 6.808864588202690125e+10 5.578590663968461037e+09 4.350938868279814720e+08 3.137258163813254982e+07 1.977780130910072941e+06 8.951436122824939957e+04 1.134441424132536582e+02 1.000170015571798210e+01 8.423449685740280302e+00
2.143379005268239013e+01 1.045523668625569531e+13 9.091386876747493896e+11 7.727590044212799072e+10 6.364157603848714828e+09 5.003030395885385275e+08 3.654544440511707217e+07 2.358414743702742271e+06 1.159521664513031137e+05 4.619579264768792655e+02 1.381744302922952272e+01 1.089339315403052488e+01
2.375157284886238784e+01 1.178802034451273828e+13 1.027668600150352905e+12 8.765396935033015442e+10 7.254422650868177414e+09 5.745470372758566141e+08 4.247902577483511716e+07 2.800252915821488481e+06 1.466125042952172225e+05 1.658418819949966064e+03 1.955021948702087897e+01 1.413771441924529348e+01
2.631999340332326653e+01 1.328679103253336523e+13 1.161202400575715820e+12 9.937295537978752136e+10 8.262838732845218658e+09 6.590151812495213747e+08 4.927674937112949044e+07 3.312273505872192793e+06 1.822320652995011769e+05 3.686212372537886040e+03 2.839949390258846051e+01 1.833106352627629931e+01
2.916615489673395345e+01 1.497186250703050586e+13 1.311598976662221924e+12 1.126015005124940491e+11 9.404544480922945023e+09 7.550485211483488083e+08 5.705548806135825068e+07 3.904596084698309191e+06 2.236848813120195700e+05 6.403515175561069555e+03 4.258966021942757862e+01 2.369179875484640263e+01
3.232009136266993465e+01 1.686600036381291016e+13 1.480943806053631348e+12 1.275290401243540344e+11 1.069657151122263336e+10 8.641587669229223728e+08 6.594728342965898663e+07 4.588637752470604144e+06 2.719774142269711592e+05 9.741315179076622371e+03 6.652475797572489569e+01 3.046149707258107853e+01
