# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
4.481404746557163810e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.178833977584225312e-03 2.667203188900177380e-01 2.830517901248976176e-01 2.832242612908651425e-01 2.832259552333760144e-01 2.832259727884351985e-01 2.832259729631958489e-01 2.832259729632130574e-01
5.517526072484407740e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.806813281041868158e-03 3.375925989341544975e-01 3.814610014318344233e-01 3.819347776276974527e-01 3.819395216010328387e-01 3.819395689047928033e-01 3.819395693746823195e-01 3.819395693747318354e-01
6.793203399878823268e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.494261920491376898e-04 3.846541499596738967e-01 4.919483111737539272e-01 4.931919547447951024e-01 4.932040780975969763e-01 4.932041979255067377e-01 4.932041975139364043e-01 4.932041975140531997e-01
8.363823174712439190e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.195443405152016310e-07 3.742869618589659275e-01 6.065107216730332151e-01 6.096214583302692613e-01 6.096527662374200407e-01 6.096530793930947656e-01 6.096530826055370778e-01 6.096530826058581543e-01
1.029757744322872703e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.863236496980319790e-01 7.155441238003175108e-01 7.229386596623117445e-01 7.230135034481535161e-01 7.230142536507971895e-01 7.230142604158166231e-01 7.230142604165699094e-01
1.267842456544269414e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.545309083080345369e-01 8.084644648767191910e-01 8.253066045765472536e-01 8.254761676274872118e-01 8.254784593791640868e-01 8.254784992592844040e-01 8.254784992610533223e-01
1.560973445917792413e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.345532578663856477e-02 8.745831027444619377e-01 9.117282134695250395e-01 9.121121881200666692e-01 9.121160194960784562e-01 9.121160583260217170e-01 9.121160583303463687e-01
1.921877664123947005e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.153236705481573351e-02 9.020165508003247234e-01 9.834628015256632327e-01 9.843397996210728751e-01 9.843487187608171984e-01 9.843488113268223927e-01 9.843488113333428435e-01
2.366224592428487927e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.871649966217814060e-03 8.730062904141462354e-01 1.050085861073002391e+00 1.052251133185068355e+00 1.052273019795091802e+00 1.052273239424683648e+00 1.052273239452951925e+00
2.913306568014864428e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.156858805442710895e-04 7.644359568322510734e-01 1.124299245101431532e+00 1.129953230753009796e+00 1.130010364650930965e+00 1.130010939638727452e+00 1.130010939692427385e+00
3.586876404884228542e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.264160105702171883e-06 5.769496426175839687e-01 1.214807067647157401e+00 1.229849023055335611e+00 1.230000402478784727e+00 1.230001942322948905e+00 1.230001942480976496e+00
4.416178676548256909e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.546161234087510383e-01 1.316622030540531396e+00 1.355953902147988943e+00 1.356361806075691456e+00 1.356365891955094050e+00 1.356365892324926881e+00
5.437219436009245399e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.619454816061137448e-01 1.410320902642109520e+00 1.512361055939678955e+00 1.513466290178199669e+00 1.513477635873191618e+00 1.513477636417359218e+00
6.694329500821692314e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.966446838556234922e-02 1.454690088763811229e+00 1.715979314831818314e+00 1.719116680668478558e+00 1.719147944443099041e+00 1.719147947934014597e+00
8.242089176828178765e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.927532518052077995e-03 1.372398017803232229e+00 2.001893011827563296e+00 2.011491127810243196e+00 2.011595045472251542e+00 2.011595055587444225e+00
1.014769798684840652e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.407823456203760419e-03 1.103790292130072626e+00 2.442056136804265698e+00 2.474666147846340980e+00 2.475004537750143285e+00 2.475004571901167960e+00
1.249389229150704494e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.832688053240657557e-04 7.270620631121880173e-01 3.181341075670154783e+00 3.305065359145209047e+00 3.306328144672499469e+00 3.306328273577983090e+00
1.538253747737506849e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.184381232193778480e-06 4.019604454759673207e-01 4.404682972134212449e+00 4.889463191587578805e+00 4.894820102599177325e+00 4.894820641579145537e+00
1.893905067548061183e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.839808782577061040e-10 2.073972366575399517e-01 6.058963595954801384e+00 7.839452692306558390e+00 7.860928888631073974e+00 7.860931215987457144e+00
2.331784603261895938e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.410555290946946705e-02 7.299766888344315419e+00 1.297522990681326860e+01 1.305842508284222170e+01 1.305843359015648808e+01
2.870903895435750286e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.059987176902014688e-02 6.552146898589224833e+00 2.119515293820581192e+01 2.149550183214562793e+01 2.149553222025292598e+01
3.534670039976436584e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.568653014448042407e-03 3.779254444996871243e+00 3.313290844780986788e+01 3.413420545902553727e+01 3.413430211085452015e+01
4.351901960692656246e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.580915856021235411e-04 1.465754487147997054e+00 4.845771260048633877e+01 5.151611461869129727e+01 5.151642990019908552e+01
5.358081648720693124e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.220889294478631434e-04 5.500584620149997495e-01 6.482609949757066659e+01 7.331464917586360741e+01 7.331555476742150290e+01
6.596894694242624269e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.041988727797134549e-05 2.251332834033871466e-01 7.707664818579871735e+01 9.802126146615540847e+01 9.802365291364267819e+01
8.122126996201558313e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.806772294662518071e-08 9.495425637615935444e-02 7.776587370101293573e+01 1.233354076441060698e+02 1.233410962166120584e+02
1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.264351182243419913e-02 6.153319332957808996e+01 1.465053222750170789e+02 1.465188076144235936e+02
