# E_gamma_TeV tau_xi_-1e+05 tau_xi_-1e+03 tau_xi_0e+00 tau_xi_1e+03 tau_xi_1e+05
7.184726762278732526e-01 3.082953748106265768e-01 1.105147388234935946e+01 1.183903833642610692e+01 1.274430233739358265e+01 1.000000000000000020e+30
8.991789964660119594e-01 1.219837774127472685e-01 1.199467311254285384e+01 1.342556677393566034e+01 1.575620459746812685e+01 1.000000000000000020e+30
1.125335582600765161e+00 3.797708656860574600e-02 1.231924335528430881e+01 1.495198557976282672e+01 3.263293664909077307e+01 1.000000000000000020e+30
1.408373837072016910e+00 7.499646139813759098e-03 1.188873892574927460e+01 1.664316735934496805e+01 1.000000000000000020e+30 1.000000000000000020e+30
1.762600326175456811e+00 6.670260188251815733e-04 1.064796195956080105e+01 1.867819920291151092e+01 1.000000000000000020e+30 1.000000000000000020e+30
2.205919925559483907e+00 6.522972397918894994e-06 8.661981925931545589e+00 2.123251256003585041e+01 1.000000000000000020e+30 1.000000000000000020e+30
2.760740847324663072e+00 0.000000000000000000e+00 6.196714565944462016e+00 2.458357904416748951e+01 1.000000000000000020e+30 1.000000000000000020e+30
3.455107294592219880e+00 0.000000000000000000e+00 3.774343949812075216e+00 2.953835079973666211e+01 1.000000000000000020e+30 1.000000000000000020e+30
4.324116995158324706e+00 0.000000000000000000e+00 1.907476666593242332e+00 3.827332192944017208e+01 1.000000000000000020e+30 1.000000000000000020e+30
5.411695265464635085e+00 0.000000000000000000e+00 7.853859374101473945e-01 5.537147556570820939e+01 1.000000000000000020e+30 1.000000000000000020e+30
6.772815277441416093e+00 0.000000000000000000e+00 2.639267454330663787e-01 8.850069046719454491e+01 1.000000000000000020e+30 1.000000000000000020e+30
8.476276754730660556e+00 0.000000000000000000e+00 7.661948867510047501e-02 1.487756065642390979e+02 1.000000000000000020e+30 1.000000000000000020e+30
1.060818355139448776e+01 0.000000000000000000e+00 2.065096539410667467e-02 2.507577243914985843e+02 1.000000000000000020e+30 1.000000000000000020e+30
1.327629589221126061e+01 0.000000000000000000e+00 4.426305534024895655e-03 4.114485980790665280e+02 1.000000000000000020e+30 1.000000000000000020e+30
1.661547726466098851e+01 0.000000000000000000e+00 5.037754842705861229e-04 6.469654460572320431e+02 1.000000000000000020e+30 1.000000000000000020e+30
2.079451128340919297e+01 0.000000000000000000e+00 1.383129660709548275e-05 9.664965298280030765e+02 1.000000000000000020e+30 1.000000000000000020e+30
2.602463309528382140e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.364467518809882222e+03 1.000000000000000020e+30 1.000000000000000020e+30
3.257020655659784580e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.815798839399844610e+03 1.000000000000000020e+30 1.000000000000000020e+30
4.076208687574886369e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.277512506406546436e+03 1.000000000000000020e+30 1.000000000000000020e+30
5.101434415464321859e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.700779237221978292e+03 1.000000000000000020e+30 1.000000000000000020e+30
6.384519314384512256e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.042936315837397615e+03 1.000000000000000020e+30 1.000000000000000020e+30
7.990318713533594064e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.275155944577532409e+03 1.000000000000000020e+30 1.000000000000000020e+30
1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.385986255638693819e+03 1.000000000000000020e+30 1.000000000000000020e+30
